NEIGHBORHOOD,SUMMARY
North Shore,Public drunkenness
South Side Flats,Indecent public excretion
North Shore,Public drunkenness
Homewood South,Harassment
South Side Flats,Criminal Mischief
Central Business District,Obstructing passage
Greenfield,Trespass
East Allegheny,Obstructing passage
South Side Flats,Public urination/defecation
Carrick,Trespass
South Side Flats,Public urination/defecation
Squirrel Hill South,Harassment
Central Business District,Marijuana possession
South Side Flats,Scattering Rubbish
South Side Flats,Public urination/defecation
South Side Flats,Fighting in disorderly conduct
North Shore,Fighting in disorderly conduct
Brookline,Threatening trespass
Central Oakland,Underage liquor
North Oakland,Actual Communication
South Side Flats,Public urination/defecation
Point Breeze North,Public drunkenness
Westwood,Harassment
South Side Flats,Public drunkenness
South Side Flats,Public urination/defecation
South Side Flats,Public drunkenness
Central Business District,Public drunkenness
Central Business District,Disorderly Conduct
South Side Flats,Public urination/defecation
South Side Flats,Public urination/defecation
South Side Flats,Public urination/defecation
South Side Flats,Indecent public excretion
North Shore,Fighting in disorderly conduct
Central Oakland,False ID for liquor
Shadyside,Criminal Mischief
South Side Flats,Actual Communication
South Side Flats,Alcohol consumption in public
South Oakland,Social host underage drinking
Central Business District,Obstructing passage
Terrace Village,Harassment
South Side Flats,Public drunkenness
Perry South,Dog license requirement
Westwood,Criminal Mischief
South Side Flats,Underage liquor offense
Squirrel Hill South,"Trespassing, threatening"
Shadyside,Public drunkenness
Homewood North,Alcohol consumption in public
Central Business District,Scattering Rubbish
South Side Flats,Public urination/defecation
Central Business District,Obstructing passage
Brookline,Harassment
Brighton Heights,Obstructing passage
Allegheny Center,Alcohol consumption in public
South Side Flats,Fighting disorderly conduct
Allentown,Public urination/defecation
East Carnegie,Criminal Mischief
Central Oakland,Unreasonable noise disorderly conduct
South Side Flats,Indecent public act
Sheraden,Harassment
Marshall-Shadeland,Criminal Mischief
South Oakland,Underage liquor
Lincoln-Lemington-Belmar,Marijuana possession
Central Business District,Obstructing passage
South Side Flats,Public urination/defecation
Central Business District,Obstructing passage
South Side Flats,Public urination/defecation
North Shore,Trespass
South Side Flats,Alcohol consumption in public
South Side Flats,Indecent public act
Central Business District,Defiant Trespass
Shadyside,Public drunkenness
South Side Flats,Public urination/defecation
Sheraden,Unreasonable noise disorderly conduct
South Side Flats,Disorderly Conduct
East Allegheny,Public urination/defecation
South Side Flats,Fighting (Disorderly Conduct)
South Side Flats,Alcohol consumption in public
East Allegheny,Harassment
South Side Flats,Trespassing Threat
Central Business District,Harassment
Central Oakland,Underage liquor offense
South Side Flats,Public urination/defecation
North Shore,Disorderly conduct
Allegheny Center,Criminal Mischief
Shadyside,Public drunkenness
Central Business District,Marijuana possession
South Side Flats,Public drunkenness
Fineview,Actual Communication
South Side Flats,Indecent public act
North Shore,Public drunkenness
Bloomfield,Harassment
East Liberty,Alarm device control
Allegheny West,Theft of services
South Side Flats,Open Container
South Side Flats,Alcohol consumption in public
Central Business District,Public drunkenness
Central Business District,Obstructing passage
East Carnegie,Harassment
North Oakland,Public marijuana smoking
Central Business District,Obstructing passage
Allegheny Center,Underage liquor offense
South Side Flats,Public drunkenness
South Side Flats,Alcohol consumption in public
South Side Slopes,Harassment
South Side Flats,Public urination/defecation
Central Business District,Obstructing passage
Beechview,Park hours
East Allegheny,Obstructing passage
Shadyside,Public drunkenness
South Side Flats,Public urination/defecation
East Carnegie,Harassment
North Oakland,Public marijuana smoking
Middle Hill,Theft of services
Shadyside,Harassment
Central Business District,Scattering Rubbish
Westwood,Retail Theft
East Liberty,Retail Theft
Central Business District,Defiant Trespass
South Side Flats,Criminal Mischief
South Side Flats,Criminal Mischief
North Shore,Public drunkenness
Perry South,Cruelty to animals
South Side Flats,Alcohol consumption in public
South Side Flats,Public urination/defecation
Central Oakland,Disorderly Conduct
Central Business District,Defiant Trespass
Shadyside,Public drunkenness
South Side Slopes,Disorderly conduct - Unreasonable noise
Central Business District,Harassment
Central Business District,Obstructing passage
North Shore,Cruelty to Animals
East Liberty,Harassment
South Side Flats,Public urination/defecation
South Side Flats,Interference with duties
Central Business District,Disorderly Conduct
South Side Flats,Alcohol consumption in public
Terrace Village,Criminal Trespass
Allegheny Center,Alcohol consumption in public
Fineview,Marijuana possession
North Shore,Defiant Trespass
South Side Flats,Public urination/defecation
South Side Flats,Fighting (Disorderly Conduct)
Mount Washington,Harassment
South Side Flats,Public drunkenness
North Shore,Disorderly Conduct
Central Business District,Obstructing passage
Central North Side,License requirement
South Side Flats,Accessible private property
South Side Flats,Public urination/defecation
Middle Hill,Public drunkenness
South Side Flats,Public urination/defecation
Middle Hill,Scattering Rubbish
South Oakland,Interference with official duties
South Side Flats,Alcohol consumption in public
Central Business District,Obstructing passage
South Side Flats,Public urination/defecation
South Side Flats,Public drunkenness
North Shore,Scattering rubbish
Point Breeze North,Retail Theft
Greenfield,Trespass with actual communication
Strip District,Fighting disorderly conduct
South Side Flats,Disorderly Conduct
Lincoln Place,Actual Communication
Terrace Village,Criminal Trespass
South Side Flats,Public drunkenness
South Side Flats,Indecent public urination/defecation
South Side Flats,Harassment
South Side Flats,Indecent public act
California-Kirkbride,Fighting in disorderly conduct
East Liberty,Marijuana possession
North Shore,Trespass with actual communication
Central Business District,Open Container
Perry South,Harassment
South Side Flats,Public drunkenness
Garfield,Criminal Mischief
California-Kirkbride,Harassment
Perry South,Tethering dogs in severe weather
South Side Slopes,Harassment
Hazelwood,Harassment
Beechview,Park hours
Terrace Village,Criminal Mischief
Greenfield,Disorderly Conduct
Central Business District,Unreasonable noise disorderly conduct
South Side Flats,Retail Theft
South Side Flats,Open Container
South Side Flats,Public urination/defecation
Sheraden,Underage liquor
South Side Flats,Public drunkenness
Central Oakland,Disorderly conduct (unreasonable noise)
Allegheny Center,Criminal Mischief
South Side Flats,Public drunkenness
South Side Slopes,Unreasonable noise disorderly conduct
South Side Flats,Public urination/defecation
South Side Flats,Public urination/defecation
Squirrel Hill South,Excessive noise between apartments
East Allegheny,Obstructing passage
Brookline,Panhandling hindrance
Central Business District,Obscene lang/gest disorderly conduct
North Shore,Disorderly Conduct
Elliott,Alcohol consumption in public
South Oakland,Underage liquor
Shadyside,Disorderly Conduct
Allentown,Park hours
South Side Flats,Alcohol on streets/sidewalks
Central Business District,Fighting (disorderly conduct)
South Side Flats,Unreasonable noise disorderly conduct
Central Business District,Public urination/defecation
North Shore,Actual Communication
Knoxville,Harassment
Allegheny Center,Cruelty to animals
South Side Flats,Obscene lang/gest disorderly conduct
South Side Flats,Fighting disorderly conduct
Brookline,Disorderly Conduct
South Side Flats,Misrepresenting age for liquor
Elliott,Alcohol on streets/sidewalks
South Side Flats,Public urination/defecation
South Side Flats,Public drunkenness
South Side Flats,Interference with duties
North Shore,Obscene lang/gest disorderly conduct
South Side Flats,Indecent public urination/defecation
South Side Flats,Disorderly Conduct
Shadyside,Public drunkenness
Perry South,Tethering dogs in severe weather
Central Business District,Indecent public excretion
Central Business District,Public drunkenness
Central Business District,Obstructing passage
South Side Flats,Public urination/defecation
Central Business District,Public urination/defecation
Central Oakland,Disorderly Conduct (Unreasonable Noise)
Squirrel Hill North,Interference with duties
South Side Flats,Indecent public urination/defecation
Chateau,Obstructing passage
South Side Flats,Public urination/defecation
Hazelwood,Public drunkenness
Central Business District,Public drunkenness
California-Kirkbride,Criminal Mischief - Graffiti Damage
South Side Flats,Public drunkenness
Allegheny Center,Alcohol on streets/sidewalks
North Shore,Alcohol on streets/sidewalks
Knoxville,Disorderly conduct (unreasonable noise)
South Side Slopes,Harassment
South Side Flats,Fighting (Disorderly Conduct)
South Side Flats,Fighting in disorderly conduct
California-Kirkbride,Obscene lang/gest disorderly conduct
Arlington,Cruelty to animals
Greenfield,Harassment
North Shore,Public drunkenness
North Shore,Unauthorized urination/defecation on private property
Knoxville,Obscene lang/gest disorderly conduct
Allentown,Criminal Mischief
South Side Flats,Disorderly Conduct
Perry South,Harassment
Carrick,Harassment
Knoxville,Harassment
South Side Flats,Public drunkenness
South Side Flats,Obscene lang/gest disorderly conduct
South Side Flats,Public drunkenness
Central Business District,Obstructing passage
South Side Flats,Fighting in disorderly conduct
South Side Flats,Actual Communication
South Side Flats,Public urination/defecation
Lincoln-Lemington-Belmar,Marijuana possession
Knoxville,Disorderly Conduct - Unreasonable Noise
South Oakland,Disorderly Conduct - Unreasonable Noise
Arlington,Cruelty to animals
Central Business District,Retail Theft
Arlington,Cruelty to Animals
Allentown,Public urination/defecation
Arlington,Cruelty to animals
Central Business District,Actual Communication
South Side Flats,Public urination/defecation
Sheraden,Fighting (disorderly conduct)
North Shore,Trespass
Sheraden,Underage liquor offense
Central Business District,Obstructing passage
North Shore,Disorderly Conduct
Bedford Dwellings,Criminal Trespass
Brookline,Harassment
Central Business District,Obscene lang/gest disorderly conduct
Bluff,Theft of services
South Side Flats,Unreasonable noise disorderly conduct
East Allegheny,Obstructing passage
South Side Flats,Disorderly Conduct - Obscene Lang/Gest
South Side Flats,Public drunkenness
South Side Flats,Public drunkenness
Central Business District,Harassment
Hazelwood,Public drunkenness
South Side Flats,Public drunkenness
Elliott,Fighting disorderly conduct
Homewood South,Marijuana possession
Squirrel Hill South,Fighting (Disorderly Conduct)
North Shore,Public drunkenness
South Side Slopes,Public drunkenness
Sheraden,Public drunkenness
Glen Hazel,Harassment
East Allegheny,Actual Communication
Carrick,Public drunkenness
North Shore,Public drunkenness
South Side Flats,Public drunkenness
Central Business District,Public drunkenness
Central Oakland,Fighting in disorderly conduct
Brookline,Public drunkenness
Elliott,Fighting in disorderly conduct
Elliott,Public drunkenness
Squirrel Hill South,Harassment
South Side Flats,Fighting in disorderly conduct
South Oakland,Disorderly conduct
South Oakland,Disorderly Conduct
Beltzhoover,Public drunkenness
Squirrel Hill South,Harassment
South Side Flats,Public drunkenness
South Side Flats,Public drunkenness
South Side Flats,Public drunkenness
South Side Flats,Obstruction of public way
Central Oakland,Alcohol consumption in public
South Side Flats,Interference with duties
North Oakland,Unreasonable Noise Disorderly Conduct
Troy Hill,Criminal Mischief
Sheraden,Disorderly conduct
South Side Flats,Disorderly conduct (unreasonable noise)
South Side Flats,Public drunkenness
South Side Flats,Public drunkenness
South Side Flats,Public drunkenness
South Side Flats,Public drunkenness
Glen Hazel,Harassment
South Side Flats,Public drunkenness
South Side Flats,Alcohol consumption in public
West Oakland,Harassment
Glen Hazel,Harassment
Brookline,Disorderly conduct (unreasonable noise)
South Side Flats,Indecent public act
South Side Flats,Indecent public act
